8,2,-7,1,-5,-15,3,5,-53,-33,0,-2,-4,-10,-27,-1,-50,4,-96,-4,-9,12,-9,20,10,2,7,-36,6,4,-2,-16,9,-1,-5,-3,4,-6,-11,-4,3,6,4,-1,5,6,0,1,7,-16,-27,-9,-4,-4,-29,-2,0,48,-6,-50,2,3,7,14
8,-4,8,7,-7,-17,-7,-7,-24,-10,-1,7,4,-13,-13,-6,10,-7,29,0,-8,-13,0,-28,32,-22,7,6,1,-3,1,35,13,-12,2,-2,8,3,-11,-8,-7,-5,5,8,5,-7,-7,-6,-7,-17,-35,-6,-5,-2,2,-2,-4,-16,-14,7,-1,-8,5,7
1,-4,-4,-5,6,-15,3,6,18,-31,8,-4,1,-16,-122,-7,-23,7,4,-2,-37,-7,-52,-1,-126,6,-1,-125,-7,7,-5,-22,10,-7,-8,1,3,-7,-9,10,7,-6,-3,-1,-3,-1,8,5,7,5,-9,-3,2,-8,3,8,6,-3,33,5,-7,-4,-6,-19
-8,6,4,5,5,-28,1,-8,9,-39,1,14,-5,-21,-52,4,13,-7,20,0,21,-1,11,7,42,-10,-6,14,2,-2,1,-17,16,-15,-10,-8,-2,7,-17,16,19,-3,5,4,-1,-4,8,-7,5,-17,-7,-15,-7,-3,19,6,13,9,-16,12,5,3,-3,5
-7,-5,0,-8,-1,-6,6,-4,-3,-8,-5,3,5,-6,-12,1,2,-7,-19,-7,16,-16,-1,7,8,-6,-6,7,1,7,-1,-12,1,-9,-2,-8,3,8,-3,6,8,-7,-1,-6,-4,-8,3,-4,-6,2,-5,-5,2,-1,6,-3,3,-8,-1,2,-4,7,-6,6
-5,1,-6,-2,-4,32,1,4,-23,25,-4,-6,8,10,-18,-7,-2,5,-17,-7,13,6,-5,-10,-11,-12,3,-4,3,-7,7,6,-4,-3,2,-8,8,-6,-12,-20,-23,0,-1,3,-1,-2,-19,3,4,-25,-19,-2,1,7,-2,-7,-14,7,-20,1,-4,-7,2,-1
0,2,-3,3,1,12,-3,1,-32,2,5,-6,2,5,20,-1,-13,-1,-29,-2,2,-23,-14,-6,-26,15,-6,-4,-8,6,3,6,-7,10,11,7,-5,4,18,-4,-13,4,-2,8,-4,-2,-12,-5,8,5,-50,13,-6,6,4,5,-4,27,-36,-3,2,2,2,14
4,-1,-1,-1,0,11,-7,-5,-19,0,8,-6,7,3,13,6,-9,-5,-1,1,-16,-3,-5,-4,-56,13,5,-5,6,-1,-7,3,-8,8,10,-3,6,-8,-3,-8,-18,-6,7,0,0,5,-2,4,-5,-4,-29,7,-2,-3,-6,-6,-9,17,3,-6,-1,-3,-2,-25
5,1,7,6,3,8,-5,-2,-5,-8,1,8,-1,0,-49,4,12,-4,-43,-6,14,18,17,-8,-33,-10,5,0,5,4,-2,-10,8,0,-1,-2,-3,6,-3,4,40,-7,4,4,1,-3,-8,2,-6,-12,-6,-6,-3,-6,14,-6,6,25,-5,8,1,8,-2,-3
2,0,-6,1,-2,-31,-6,1,21,-47,8,9,7,-30,-16,-6,-2,4,-18,-3,12,-2,5,7,-72,-14,-3,18,4,-3,-7,-35,9,-18,-15,6,1,-7,-21,8,3,-3,2,2,6,6,9,0,6,-19,-25,-14,5,5,0,-3,1,1,-26,11,-4,-3,7,12
3,0,0,4,3,2,0,5,-20,-80,6,14,-5,1,-68,-3,20,2,-5,7,-18,-16,10,-15,13,-20,6,-9,-2,-5,-6,0,21,-4,10,-3,3,5,-14,30,3,3,7,5,-7,4,-6,3,6,-5,0,-7,6,1,-7,-2,-3,21,-6,-1,4,3,2,9
-1,7,1,-8,3,19,-4,4,-22,23,3,-10,5,9,11,-5,-17,-1,4,-6,-22,20,2,-12,-29,17,-8,5,-2,-5,-4,9,-6,10,11,6,5,1,12,-3,-1,-3,-2,-4,6,-8,-5,-2,7,18,-12,9,6,-8,-11,-4,0,-6,17,-1,1,-8,4,17
-7,-8,-7,1,-2,19,-2,-7,-2,18,7,-14,-1,9,34,2,-12,2,-20,2,-17,11,-8,-8,-22,17,1,0,6,6,-7,3,-9,18,2,3,4,5,-2,-15,-11,6,7,8,5,-6,-20,-6,-5,-63,-20,4,-3,4,-12,2,-13,-5,-50,-7,5,-2,1,27
2,-6,-5,-6,7,8,-2,-4,-28,7,-5,0,-2,9,29,7,0,8,-41,-6,-1,9,1,1,-16,8,2,3,-6,-3,8,-15,-10,9,-2,-5,0,-5,16,-21,-34,-4,-5,3,-4,2,-16,-6,-1,-60,-26,13,-5,-4,-20,1,-25,7,-56,4,0,6,-5,10
