-1,-3,-18,2,8,13,-12,-8,-1,-2,-12,-20,-1,-2,8,0,3,-17,3,-17,-3,-6,-7,-4,5,-8,-3,-11,-6,-59,6,-1,-7,6,6,-3,6,-7,0,4,18,-5,-6,-7,17,38,-12,10,31,-13,0,-7,4,1,-4,5,9,2,2,-8,-9,-11,-14,12
8,4,3,4,9,19,6,-12,3,-2,-10,4,6,4,7,4,13,-3,8,-26,-2,6,4,2,5,15,7,-18,12,35,8,7,1,-6,-4,-1,0,-22,-5,-2,12,2,1,-1,6,11,-3,32,27,-30,3,3,-2,4,2,6,-2,0,3,-25,11,14,-7,1
5,4,9,1,7,28,-4,0,-2,-2,6,5,-8,-2,7,6,-4,-13,2,19,1,2,6,-1,-5,-10,8,10,-2,-84,6,4,5,3,-6,-8,2,8,2,4,8,-7,-7,-5,3,-5,1,-2,2,6,6,6,0,6,-2,4,-49,-5,-6,-2,3,9,-4,3
4,0,-1,4,-1,-31,-16,22,-5,0,9,1,2,6,2,-8,-44,-20,6,13,5,-3,4,1,0,-13,4,-14,-50,-18,-1,-7,-3,-1,1,-4,5,2,-6,-7,-57,-5,7,-7,-65,-15,21,1,-25,-4,-1,-6,-4,6,-3,-1,-75,-4,-6,-1,-30,-1,3,-17
6,4,5,1,-9,-10,-55,9,1,1,5,15,-2,-1,7,-1,-79,-39,-3,-7,5,6,3,8,-5,-5,7,14,-52,22,-5,1,5,0,-6,-5,6,-3,-3,6,-5,4,2,0,-14,-1,-21,30,-1,-5,-3,5,0,-1,-4,-7,-37,-1,3,-29,23,-27,-25,-2
0,-2,0,7,-1,-20,-22,-10,7,-7,1,-6,-5,-1,2,-5,8,2,-3,6,-6,3,1,5,5,0,0,-14,9,13,-3,-3,4,8,-4,-4,3,-16,4,5,-4,-5,3,-7,-17,-24,3,-10,-29,1,-6,5,7,2,-8,7,-21,6,-3,-3,-5,5,4,-6
-2,7,4,-4,-2,18,12,-18,0,7,-10,7,-3,-5,8,3,-15,1,0,-17,7,-1,1,3,1,-5,-8,-24,-5,8,-5,-5,-7,7,-6,-7,4,-24,2,2,12,-5,-5,-6,8,11,-19,38,21,-35,1,7,-6,2,6,-5,-2,-2,-7,-15,12,12,-13,-2
2,7,-28,1,-6,-4,3,11,-6,5,-2,9,0,4,4,-8,8,-28,2,-12,1,-6,-4,2,2,-1,3,-7,-23,-6,-6,8,-3,-8,7,-4,-1,4,-6,4,-7,5,-8,5,-15,-13,-22,9,-24,-31,-7,5,3,-5,5,-6,-27,-1,7,-24,6,27,28,10
5,-3,-15,2,-127,-58,-27,-3,-7,-4,-5,-10,-8,-6,6,1,-7,-11,8,12,3,6,5,8,6,-16,7,-6,-15,-95,1,2,-5,3,4,7,0,-53,-2,-6,1,-3,4,-1,5,-1,-34,-12,5,-5,1,2,7,-5,2,-6,-23,-4,4,-10,-14,-11,3,13
6,-8,-3,4,23,13,1,-20,8,1,-12,-13,2,-6,8,2,-1,-6,0,-5,-3,7,-4,-6,5,-15,0,-24,14,-56,-5,-5,4,-7,-6,-1,0,8,5,5,24,0,-1,6,17,11,-9,-29,12,-15,-6,-17,-2,-5,-8,8,11,3,2,-9,-11,9,-6,19
