58,90,82,113,-22,119,127,82,-33,36,112,18,77,108,79,89,67,93,93,18,-104,70,19,70,-89,-23,64,-48,109,64,80,20
43,-39,10,56,59,-22,21,42,61,-66,-19,-44,-41,-26,-66,-46,20,-16,24,-35,-10,50,24,45,-55,-46,-2,0,28,-70,38,14
67,-63,-23,-33,-46,-48,63,37,41,49,-37,60,-57,26,-28,-8,-58,21,59,-22,7,-50,14,55,26,39,21,-27,-5,3,9,64
108,69,98,67,-20,36,65,47,34,0,101,47,-29,34,62,108,72,-34,101,71,-74,91,-26,80,-65,-112,-29,-58,56,26,40,-8
-13,15,-67,-23,-50,19,-69,-59,-68,-57,-67,-21,-66,34,-45,-52,-6,5,-7,-25,21,-40,-15,13,10,68,54,-21,-25,-1,20,-3
-34,40,-20,38,76,-67,60,19,12,-9,-39,3,-55,-66,-70,23,51,54,-55,52,-26,77,-55,-9,-55,-43,35,-64,-20,46,-47,-41
-4,20,-55,-50,-12,-59,16,-41,6,-45,32,-54,-42,33,75,21,-54,48,24,30,107,-16,93,45,108,91,-4,-6,-8,29,-35,96
35,45,53,20,60,63,-5,-50,-27,-2,7,-29,0,-64,4,-17,36,-64,47,11,-22,27,4,-29,3,49,-51,-2,-67,-59,38,65
