-8,-78,-3,-1,-3,-15,7,-3,4,-6,2,-36,2,-16,7,-124,-11,2,-9,43,25,-10,-10,7,43,-13,4,28
0,29,-6,4,-8,0,13,-1,9,-5,1,43,1,18,-8,13,-4,-5,-1,-41,-17,11,12,-7,-51,-59,8,6
3,2,-7,11,-10,-11,-7,2,0,6,-8,-1,9,1,12,-9,-11,1,-5,10,4,10,3,5,3,-9,10,-1
7,14,1,2,8,-2,-1,7,-10,-2,-8,0,-5,-10,-2,37,0,5,-4,8,15,0,-7,-10,18,-71,-12,23
-5,-9,6,-6,-2,-9,-12,5,-7,-7,6,-4,-4,-6,-12,7,5,-5,-2,-9,-16,-11,7,-3,-3,-3,0,6
-3,16,12,-12,-8,0,-6,0,12,12,24,-2,0,-6,-11,4,-8,-5,-7,-10,-7,2,-10,-4,12,41,4,-6
0,18,5,8,4,-2,-3,-2,6,10,10,-9,9,23,-5,-18,-9,2,4,-26,-24,3,5,-9,9,88,-11,0
-5,-77,-9,6,-4,4,-7,-4,-1,-9,0,-5,2,-2,-11,-74,-5,4,-11,24,32,1,1,-5,37,16,7,17
5,7,-1,-10,11,-1,2,12,-7,-9,-4,6,-4,-8,-11,-8,2,-2,6,4,4,3,-5,-5,-2,-8,-11,3
11,4,9,6,6,-12,-14,4,-10,9,3,39,9,-20,-8,17,9,9,0,-17,-2,5,10,8,-34,127,-9,-10
-3,1,-7,-7,1,2,8,-10,-8,9,10,-6,-3,-6,-6,2,-6,0,-1,-11,0,-7,7,-9,3,38,-5,-13
9,-2,-9,6,-10,8,2,3,-7,-9,1,3,2,-8,5,-8,3,7,-9,-7,1,4,8,-5,-11,-1,-6,0
12,4,-6,-1,-1,7,-6,-7,8,8,12,-8,5,5,10,-6,-11,-3,11,-6,4,-5,-10,-11,-6,29,2,-8
6,-96,6,11,4,-4,-11,-1,9,-5,13,-21,5,-8,9,-117,2,-12,7,39,36,-8,-9,3,30,7,-2,25
-11,-19,-3,10,-4,-10,1,-8,-7,11,2,16,-5,2,-4,-46,-7,6,-8,25,26,5,12,-11,19,-15,8,35
5,-9,11,-11,6,0,-7,-11,-5,-3,-7,0,6,2,8,1,-1,2,-12,-5,-2,1,11,8,11,7,-3,-1
4,-4,3,1,1,-6,-7,-8,11,10,0,-6,-1,-4,6,1,-4,1,-7,-6,3,4,-5,-1,-5,6,-2,-1
5,21,8,-9,-7,-20,-40,-8,3,5,-5,-19,1,4,-3,1,-5,-5,4,-47,-9,6,10,-11,20,12,0,43
2,-38,2,10,-5,-4,-28,3,4,1,-3,-37,5,9,3,-13,-5,7,8,21,22,-3,5,10,6,19,-12,31
11,50,-8,-3,6,-4,1,-1,3,2,-5,-23,-7,28,9,-47,4,-4,-1,1,-13,7,8,9,-90,-1,7,-14
8,11,8,6,0,16,31,10,-10,10,-21,16,-11,32,8,-50,-7,-3,9,21,-9,9,5,7,16,-18,5,-38
-4,-4,10,-4,6,18,-4,10,10,8,-50,3,5,-8,-7,18,-2,-10,-1,6,-15,-1,10,-1,-11,-2,-1,4
-7,-2,1,-10,-6,-10,-2,-10,0,-12,-18,-1,1,6,9,-7,-5,4,6,-8,-2,5,-5,0,-6,-10,9,0
6,12,2,-12,9,-1,-18,-1,10,-5,27,-22,-12,1,-11,-31,4,10,0,37,24,-6,3,-8,1,-6,-2,-11
-11,2,-9,12,-4,16,3,-10,9,6,-31,9,-3,4,7,8,-8,-1,-12,3,-12,9,8,-5,-9,-3,-7,0
6,2,10,-9,7,97,67,-4,0,-7,9,36,1,37,-5,-127,6,-9,4,-69,-28,-2,10,-1,6,-73,10,-95
1,6,-8,3,-1,-1,3,-10,11,5,-13,4,-2,-1,-6,9,7,-10,-2,18,-15,5,-5,-6,5,10,2,10
3,-7,-8,-8,-1,22,-6,8,-6,5,-4,9,2,-14,11,7,2,8,-11,0,4,9,-11,-4,4,-1,8,2
8,6,-10,6,7,8,-11,-6,-11,-3,-26,13,-2,-15,-3,11,10,3,-4,0,7,-11,11,9,-5,4,10,-1
2,14,-4,-2,-11,-22,-68,6,-11,10,7,-18,-11,-11,1,-23,1,4,5,-127,-127,1,-9,-3,1,1,-1,-8
5,14,-1,-7,1,45,-123,11,-10,5,12,-35,1,-16,-2,-53,7,1,4,-127,-127,-10,6,10,11,3,-6,3
7,-21,4,-10,-6,-29,-22,8,11,-8,-4,-6,6,7,-1,27,2,-1,6,-127,-114,6,4,2,-2,-5,-4,-9
1,-10,-9,-11,-5,-2,-48,3,9,-3,-26,-43,8,23,-10,21,3,0,-10,-23,20,0,2,-6,27,-24,-11,14
