3,0,0,6,-7,-4,4,1,-7,2,-1,-7,0,5,-2,-5,5,-5,3,0,3,1,-5,-2,1,3,-6,-5,3,-2,7,1,3,2,6,3,3,7,-3,-4,-2,6,-8,-7,1,-6,0,-2,-5,-5,-5,-4,-1,-7,-3,0,-4,0,-4,-6,-1,2,-2,-3
5,9,-1,3,4,0,-1,-10,-5,5,9,-1,-8,4,4,3,-4,-36,69,5,-4,4,-7,7,-2,-7,-3,2,4,8,-7,12,-7,-1,2,-1,-11,-8,4,109,-8,4,5,15,-6,-17,-7,-4,-3,-2,8,18,-4,-5,0,2,-3,6,3,2,-21,-7,7,-31
5,-5,-5,4,-5,-5,-1,6,7,1,-5,-6,-3,5,63,18,7,5,-5,0,2,0,7,-7,3,5,0,-1,7,8,-1,2,-1,-61,0,-1,-119,5,-1,-41,-4,-4,-2,-46,-8,-2,3,-4,-6,-100,6,-5,6,-2,5,3,8,-40,4,-4,-28,2,4,-13
0,-10,1,-15,-2,-9,-5,-1,5,-2,3,7,7,-5,8,-6,1,-4,5,-2,6,-2,4,3,1,0,3,-1,-5,9,2,0,0,-1,-1,5,9,-4,1,-40,7,1,4,-6,-6,-6,0,8,8,-50,-5,-3,-7,3,4,-4,5,-2,5,-5,5,6,-3,9
7,-8,6,-9,7,-5,-1,-1,-6,1,-3,-6,-2,1,0,-2,5,-1,-9,3,-1,4,5,5,4,-2,4,-4,-3,6,-4,-13,-6,-4,-7,-7,1,1,5,27,0,1,-4,-2,1,-15,0,1,-6,1,3,0,3,-1,3,-8,7,-7,1,0,6,-6,4,8
-6,1,8,-6,-7,3,-6,-22,-3,0,9,7,0,-1,-3,-4,7,-30,41,5,2,-4,-5,7,7,0,4,-2,0,-2,-3,-16,-1,-1,-1,1,0,-7,3,47,1,-1,5,9,6,2,1,7,0,32,-1,-10,6,2,-3,7,-2,14,-7,3,-3,-5,2,23
5,5,-4,-10,4,-4,-7,-16,-5,-1,7,7,-3,-8,3,7,5,-33,47,3,2,-2,8,-2,1,5,1,-1,8,6,6,-8,-8,-3,5,7,5,-3,-8,60,4,-3,3,9,-4,-4,-7,6,1,30,0,-12,3,-6,5,6,-4,11,-5,-7,-14,-7,3,16
2,-1,0,6,-5,-6,-7,13,-1,4,2,-2,-2,8,-21,-8,0,15,-12,4,2,7,-6,-3,-4,-7,-2,3,5,0,-5,9,2,-11,4,4,-4,0,-5,-15,-8,2,3,-11,7,8,-6,5,8,-32,6,-1,-6,2,-6,2,-4,-16,-5,5,-3,-4,-4,-10
4,-12,6,-78,-7,-11,3,7,-6,-7,-6,-8,-2,4,-9,42,-1,4,10,-1,3,8,5,-5,7,-5,6,-3,6,9,-2,-1,-7,-17,5,0,4,1,0,24,5,-3,28,-16,7,-9,-2,-7,-4,7,0,-3,4,-7,8,-1,-3,0,7,0,-18,-5,-1,-9
2,-11,3,2,8,-22,7,-10,-3,3,-14,-3,-1,2,-8,2,0,6,-6,-2,-6,-1,3,2,-5,-7,-1,2,2,-17,5,7,1,-6,-3,5,6,8,3,3,4,8,-3,-2,-3,-23,-4,-6,-2,9,1,-6,-5,1,-4,5,-5,-7,-6,4,7,8,-6,22
-3,5,0,4,-4,7,3,1,-3,2,0,-3,0,-8,0,-2,-3,-2,-42,6,-5,2,-5,8,-4,2,-7,4,1,4,0,12,0,3,-2,1,5,-1,0,2,3,4,7,4,3,-1,5,0,1,-13,8,8,3,-7,3,-6,5,-5,3,0,6,2,-5,10
4,0,-8,1,3,-3,-2,-2,-1,4,7,-1,7,7,0,2,8,7,3,2,-1,-2,-6,1,-6,-4,7,-1,-3,-1,3,4,-8,-5,-1,5,8,8,0,33,8,-3,6,3,-3,2,4,-7,8,32,-3,-2,4,1,-2,8,-5,0,-7,-2,4,0,5,-21
2,-3,2,-22,-1,-15,2,-10,0,-3,7,4,-5,2,-2,-24,-3,-23,55,3,-5,-3,7,4,-6,4,2,4,3,22,-6,9,-7,-28,-5,1,-49,5,5,7,-5,-5,3,-9,6,-19,7,-1,6,4,-2,19,-2,-2,1,-5,-1,2,1,-5,-17,6,8,16
-1,5,-2,-47,-5,8,4,-52,-6,0,4,-1,-7,-5,4,4,0,-49,6,5,-2,1,-1,4,-1,-7,6,0,0,-6,-7,2,-7,4,4,5,-45,-3,2,-22,-4,1,-27,-5,7,8,1,-8,4,-14,0,-11,1,4,-4,7,-8,19,7,-2,-9,-6,-2,34
7,-9,5,-16,7,-9,6,-23,4,-5,-4,6,-1,-4,6,-9,5,-25,44,8,-1,-7,4,5,2,8,6,8,-2,24,4,-6,0,-21,0,6,-38,7,5,7,-7,6,28,-18,-2,-18,1,4,-5,16,8,3,5,-5,1,-5,-7,0,4,-6,-10,7,3,3
5,-1,-1,7,6,-1,-6,2,-6,3,-4,7,5,4,-22,-20,-3,6,-19,5,0,-1,-2,0,2,2,7,-4,0,-4,-2,4,0,-12,6,-3,1,-5,-5,-45,-6,-3,-9,-10,6,8,2,-4,-4,-55,-5,3,-4,0,-5,0,1,-16,-7,7,-2,0,-8,3
-1,5,1,-77,-2,16,4,-58,6,7,-8,-5,-4,-7,-7,-13,-7,-35,-31,-2,-7,2,7,-5,2,-7,2,-7,-3,-12,0,-12,-8,4,7,1,-76,-3,7,-66,-6,-6,-48,-14,-3,5,7,5,3,-110,6,-5,-5,-6,-6,8,-5,23,8,3,-10,3,-8,11
1,2,5,-1,-6,-3,-6,-13,-1,4,2,1,-2,8,-2,0,8,-20,20,6,-6,7,7,8,-6,-2,5,3,2,-1,-3,-7,-8,-5,0,5,-6,-3,-6,39,0,7,0,3,-2,-5,-6,4,1,2,2,0,3,1,-1,-1,4,3,4,-5,-1,-6,-2,22
-2,10,4,-11,-1,8,5,-1,5,7,-9,7,0,-1,-9,-12,6,-3,-26,-8,6,-1,-1,7,7,-3,3,7,1,-9,-6,-6,1,-1,0,-4,-20,-7,6,-74,-4,7,-15,-9,7,2,-8,2,-6,-101,7,6,5,5,4,-5,-1,-4,8,-1,-3,-8,-1,19
-3,6,-5,-5,6,-2,-6,12,2,-8,-5,2,6,4,-33,-45,6,15,-17,-6,-1,7,-8,-1,5,-2,1,-3,-4,-4,4,11,6,-37,7,6,-6,6,-7,-64,7,7,-7,-24,-5,8,4,2,7,7,-1,4,-8,-2,3,1,7,-27,-3,4,-2,6,-7,-7
4,8,-8,-8,0,-8,5,-8,-7,1,3,1,-6,-3,2,-6,-8,-5,-8,0,-5,0,6,1,-3,3,-1,-4,6,11,5,12,3,-4,-6,0,-11,7,-7,31,1,-5,0,14,-6,-14,4,4,-3,-2,-7,27,6,8,8,1,-8,5,-5,-6,-13,2,4,-1
-7,-6,1,-3,-6,1,-5,-2,-2,6,1,0,-3,2,-9,-7,-7,-9,5,4,3,1,4,-5,1,-4,8,-5,6,-6,-4,-10,2,-7,-1,-7,-2,-8,-6,-2,3,2,1,-11,6,-2,4,-7,-8,3,-4,-4,-1,1,-8,-3,-1,-5,-7,5,-9,3,1,1
