-6,28,1,7,8,2,-8,3,-4,-1,8,1,-6,7,-13,10,-7,4,-4,3,5,-81,5,4,-15,6,-7,-4,14,-20,3,16,-6,-7,-3,-7,-3,8,-4,-1,-4,4,4,-2,4,-6,1,4,-1,-7,-2,-10,-3,9,-5,-20,-9,2,-6,-10,-13,2,0,-4
-7,-4,1,3,-3,-5,9,-4,6,0,2,-6,-12,-3,-8,18,-2,1,1,-1,-4,-33,-6,-3,-7,7,3,-11,-7,-22,-5,-4,8,5,-16,8,2,5,-32,0,-7,-1,-2,16,-7,-3,2,8,-8,6,-3,-15,0,-4,-2,18,0,-2,-5,0,-29,-8,4,-7
3,-20,3,4,-9,5,-12,1,5,8,-4,4,-36,1,13,-4,-1,3,-3,-2,-8,-15,-5,-7,-7,-3,8,-29,6,4,7,-20,3,7,-14,1,-85,3,8,-12,11,4,1,-5,1,-5,-1,5,-25,5,17,7,3,-13,-2,-15,-11,2,-2,6,-5,5,1,4
8,16,5,-3,18,-3,17,-6,-1,6,-8,6,6,-3,15,17,7,7,1,-8,-2,17,-3,-5,1,3,4,10,-23,-4,-4,24,2,0,8,-3,10,-5,-28,12,-4,5,-6,-16,6,-3,-3,26,8,-3,-5,0,-1,14,-3,10,5,8,7,10,-8,-4,-5,3
-4,2,8,-4,8,0,-6,-4,-1,-2,-5,6,-74,7,4,-16,-2,7,-2,-1,-5,14,-4,0,7,6,-2,-23,-14,-29,3,29,5,3,-16,2,-32,5,-16,9,2,6,-3,-33,-2,-5,-5,-11,-19,7,7,19,-1,19,1,12,5,5,4,-16,-4,-3,5,7
2,-1,5,-2,1,1,8,4,3,6,-2,3,-38,6,-22,-8,-7,0,-3,7,-7,-73,7,-5,18,1,-2,-8,2,-27,3,-16,6,3,-5,-3,-1,-7,3,-78,-15,-3,0,-12,-6,-3,-6,-50,1,0,8,13,-2,11,-5,17,6,6,-6,-9,-32,0,-2,-6
1,-9,-3,4,10,3,-6,3,0,-8,-2,2,28,-3,9,-26,-2,1,-6,8,-4,-36,-5,5,8,7,6,-17,-31,7,-1,-24,3,-1,-1,-3,-7,4,11,-6,-2,-1,-5,9,4,-2,5,-10,1,8,-1,14,-6,-12,-8,-28,-13,4,3,4,-8,4,8,-6
-5,-14,8,0,27,3,-15,1,5,-7,4,5,6,4,1,-14,4,6,-5,-4,-5,-7,0,-1,-8,2,-3,-4,29,-41,4,-29,0,-3,-20,7,-13,3,-13,-22,11,-7,-2,3,4,-2,3,-51,-15,0,10,-37,-2,0,-5,22,-5,8,-5,-13,-28,5,7,-5
-2,10,-3,3,19,6,-4,4,0,5,-4,5,-21,1,-10,-20,-1,-6,5,1,0,-28,-1,-5,9,5,5,14,4,-16,-2,-14,-2,1,0,3,20,7,0,-15,-6,1,3,-15,0,0,-5,24,2,-7,-8,-21,-3,-13,4,-42,14,6,5,-2,8,-2,3,-8
3,3,4,3,-9,-3,-4,2,2,-4,-2,1,-88,-8,-1,12,6,-8,7,7,5,16,5,3,5,-3,-5,-6,4,10,-4,7,4,1,-3,5,-6,3,2,-5,-2,-3,-2,-4,0,-5,2,9,2,7,-1,0,4,-1,1,6,2,-2,-6,5,-6,-6,-7,5
7,-4,-5,6,-8,-3,0,6,4,-6,-7,-2,-8,8,6,-5,0,-2,-5,5,-3,-5,8,4,-8,3,0,-5,6,-5,-5,-2,0,-2,0,2,-2,7,-5,0,0,6,5,6,-7,0,-6,-3,-6,2,0,-6,-2,0,5,-7,2,5,2,4,5,-4,-8,1
3,-8,7,-3,-26,-4,-18,3,1,0,-8,1,-9,-6,-20,-7,-3,-6,5,7,-3,-49,-6,0,14,-3,-6,-7,5,-23,0,1,7,-4,-34,-1,-18,6,22,-6,-9,2,4,-11,1,-3,-4,-31,-13,-2,-3,-11,-4,-66,-2,33,-39,7,3,-11,-17,0,-4,2
5,-25,5,-2,-22,6,-31,4,-3,0,-6,5,-13,-1,-4,-15,8,0,-2,8,1,5,-3,2,5,0,0,-20,-2,2,-1,-26,-4,3,-9,0,-4,6,17,-11,2,-4,-5,-17,3,1,4,-9,-14,0,12,-22,-4,-11,-4,2,-4,-1,2,-30,5,-6,1,-1
-7,-6,6,2,-4,-5,-16,-7,-6,-7,8,-6,-18,1,13,-17,-7,-6,-5,-3,1,44,3,-3,11,-4,1,2,21,18,2,-61,6,-2,-7,3,2,-2,-28,-4,3,-4,8,-18,2,5,-2,-8,-3,5,-1,-5,-6,-4,3,1,-1,-5,-4,-33,37,3,1,2
3,9,-2,5,20,3,1,-8,-5,8,4,-2,-1,-4,13,1,2,7,6,5,1,21,3,5,2,6,-6,5,-5,-28,6,-5,-8,7,-7,0,18,-1,-7,-3,-65,3,6,-21,-2,8,-4,-28,9,2,-87,7,1,15,0,-19,-7,0,-8,-11,15,4,-6,4
5,13,-7,4,9,5,1,6,6,0,7,3,-65,8,-31,13,-3,1,-8,0,6,-6,3,3,16,-4,-3,-8,-18,2,-6,1,-2,-5,8,5,2,-7,-25,10,-10,4,2,-41,-4,2,-1,-6,3,-2,-14,-7,4,9,-2,14,16,6,1,-14,-16,5,-1,2
0,-2,-2,-1,-41,6,-16,-1,-4,-2,-5,-1,-63,-5,-21,0,0,-7,3,1,-1,-16,-5,5,7,-7,3,16,12,9,4,3,5,-5,8,0,3,3,-16,-4,0,-4,-1,-39,1,5,-2,-29,-4,3,1,0,-6,-6,6,5,-4,2,-6,-37,-49,-2,7,6
4,-7,-1,-5,-16,-2,-4,6,-3,0,-1,1,15,-5,-5,1,8,2,8,5,-2,21,-7,2,-13,1,-6,-3,-48,-12,5,-4,5,-2,-7,5,-3,5,15,8,-10,-3,-7,9,0,3,2,-63,29,-7,-7,-4,7,-10,-1,-5,1,-5,5,-11,0,-1,-5,1
-5,7,-2,3,21,-4,-4,1,-4,-2,4,3,12,-7,9,-7,1,-8,4,-6,4,9,5,0,-3,-4,-4,32,12,6,8,5,6,-4,-4,1,7,5,-3,2,5,-1,-3,7,6,-3,-7,22,-2,4,7,-9,-8,0,2,5,2,5,-1,9,-2,2,8,1
1,-9,-3,6,-13,-3,2,5,8,-3,-6,-5,1,-2,-8,-28,0,-2,-4,-4,1,-2,0,1,8,5,5,-47,-29,-20,7,-33,1,6,-4,-3,-8,6,1,-7,-4,-6,-1,3,-7,-4,3,-18,-2,-1,-2,20,-1,-3,5,-21,-13,4,0,1,10,7,-8,5
-4,7,-2,5,19,-3,10,-7,0,1,-6,-5,-50,1,-14,10,-1,-4,7,1,2,8,7,-4,13,-1,0,-1,-7,-28,2,5,7,-8,5,-5,8,1,-10,7,-9,8,-6,-26,1,-2,3,-1,12,-2,-5,-10,8,21,7,14,24,-1,-2,-15,2,1,-4,2
0,-24,-2,7,-5,-6,-30,-4,4,6,2,1,-9,-6,8,-3,-6,7,-7,7,-7,24,-6,-8,7,-6,0,-11,18,-15,2,-10,-1,-5,-14,-7,-6,-7,11,-16,16,-4,-5,2,3,8,6,-20,-10,2,21,-33,-8,2,7,-1,-5,4,7,-21,3,6,1,-7
2,-5,5,-7,-6,-1,-3,-2,-1,5,2,8,-17,5,-3,-27,2,-6,1,5,1,-9,-1,1,17,-3,3,-15,5,1,5,-7,5,-2,-13,1,-22,1,8,23,-5,6,5,-4,-5,-6,4,-45,-21,-7,-6,-51,2,23,0,-27,-10,0,-5,-16,-38,7,5,6
-6,-5,0,-3,-9,-3,14,0,7,-3,2,4,-9,6,1,14,1,1,-4,1,-6,-20,-3,7,4,-7,-7,-8,-11,-12,-7,-6,-4,-7,-9,2,-5,-5,-5,-2,-9,1,-1,25,-7,4,3,-7,5,4,-13,7,5,-8,1,-4,-7,-3,-3,9,-8,-6,6,-6
-3,3,2,4,4,8,3,5,-5,-5,1,6,-123,-7,12,13,4,-2,-5,7,5,-4,1,3,16,5,7,-3,-45,13,-7,12,0,1,3,3,9,-5,-20,8,-14,-7,5,-61,-5,-4,-6,-9,-2,-2,-18,-1,0,-3,2,17,18,-7,-4,-23,-42,-2,-4,-1
-7,-11,-7,-6,9,1,-17,-5,-2,2,7,3,-6,-6,4,5,5,-6,6,7,-3,-26,7,-3,2,7,6,4,16,-37,5,-4,4,-4,-15,-2,-14,1,-7,-11,5,-8,8,-13,7,-7,-6,-64,-16,4,5,-56,-5,-5,8,4,-11,-3,3,-18,-33,3,-2,4
5,3,6,-3,2,-1,-11,-4,0,-5,-5,6,2,-1,-17,-40,4,-4,-2,-7,-6,-21,-7,4,7,2,-4,1,24,-42,2,8,0,-8,-16,-2,-6,0,16,-7,-21,-2,-6,-24,0,1,7,-54,-2,6,-32,-53,1,7,-6,9,-11,3,0,-25,-22,4,-3,0
-7,-22,5,2,-42,0,-40,2,6,-4,-1,-6,-4,-2,-7,-6,6,-4,-6,-3,-2,-28,-6,5,9,1,-3,-8,2,-47,3,-23,1,-4,-20,4,-7,4,31,-15,5,-1,2,-9,-1,1,6,-58,-15,-7,3,-59,-5,-21,6,26,-24,0,-2,-25,-14,8,5,-6
